BioProject,.,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA1077663,.,Pseudomonas aeruginosa,287,S,16618,181825,198443,0.03729
PRJNA910807,.,Corynebacterium glutamicum,1718,S,269,82842,83111,0.03402
PRJNA721101,.,Moraxella osloensis,34062,S,47192,144,47336,0.03198
PRJNA807746,.,Corynebacterium glutamicum,1718,S,391,130896,131287,0.03153
PRJDB10133,.,Pseudomonas aeruginosa,287,S,7406,50170,57576,0.03074
PRJNA879945,.,Moraxella osloensis,34062,S,23683,60,23743,0.03051
PRJNA912096,.,Streptococcus pneumoniae,1313,S,588,45511,46099,0.02906
PRJNA807746,.,Pseudomonas aeruginosa,287,S,2861,103191,106052,0.02858
PRJNA912096,.,Pseudomonas aeruginosa,287,S,1662,60415,62077,0.02844
PRJNA749068,.,Anoxybacillus flavithermus,33934,S,285290,67502,352792,0.02841
PRJNA912096,.,Muribaculum intestinale,1796646,S,232,4,236,0.02649
PRJNA879945,.,Staphylococcus aureus,1280,S,888,23652,24540,0.02638
PRJNA381365,.,Staphylococcus aureus,1280,S,463588,1422721,1886309,0.02635
PRJNA692666,.,Simonsiella muelleri,72,S,34612,3281,37893,0.02591
PRJNA894103,.,Faecalibacterium prausnitzii,853,S,6790,72296,79086,0.02533
PRJNA819236,.,Muribaculum intestinale,1796646,S,99532,1646,101178,0.02464
PRJNA692666,.,Cutibacterium acnes,1747,S,23468,125,23593,0.02428
PRJEB21503,.,Staphylococcus aureus,1280,S,1447,1178,2625,0.02403
PRJDB10133,.,Staphylococcus aureus,1280,S,8297,23025,31322,0.02311
PRJNA879945,.,Pseudomonas aeruginosa,287,S,598,27819,28417,0.0217
PRJNA695410,.,Muribaculum intestinale,1796646,S,59006,2605,61611,0.02101
PRJNA1048377,.,Corynebacterium glutamicum,1718,S,154,31201,31355,0.02081
PRJNA807746,.,Simonsiella muelleri,72,S,61074,1164,62238,0.01997
PRJNA802336,.,Escherichia coli,562,S,562,11885,12447,0.01958
PRJDB10068,.,Pseudomonas sp. S150,2559074,S,221,15068,15289,0.01952
PRJNA937315,.,Staphylococcus epidermidis,1282,S,16312,1240,17552,0.0189
PRJNA894103,.,Corynebacterium glutamicum,1718,S,350,80284,80634,0.01843
PRJNA802336,.,Streptococcus pneumoniae,1313,S,16787,881,17668,0.0174
PRJNA1077663,.,Cutibacterium acnes,1747,S,92779,687,93466,0.01696
PRJDB15234,.,Cutibacterium acnes,1747,S,16803,69,16872,0.01678
PRJNA749068,.,Escherichia coli,562,S,106498,74268,180766,0.01666
PRJNA692666,.,Pseudomonas aeruginosa,287,S,9973,20845,30818,0.01629
PRJNA398289,.,Staphylococcus epidermidis,1282,S,968961,86609,1055570,0.01581
PRJEB21503,.,Escherichia coli,562,S,1050,3374,4424,0.01519
PRJNA429692,.,Staphylococcus epidermidis,1282,S,968961,86609,1055570,0.01497
PRJNA879945,.,Muribaculum intestinale,1796646,S,15315,267,15582,0.0149
PRJNA847046,.,Streptococcus pneumoniae,1313,S,14714,76106,90820,0.01476
PRJNA486134,.,Escherichia coli,562,S,116,14829,14945,0.01431
PRJNA720296,.,Faecalibacterium prausnitzii,853,S,24237,52369,76606,0.01419
PRJNA894103,.,Simonsiella muelleri,72,S,46126,510,46636,0.01349
PRJDB15234,.,Staphylococcus aureus,1280,S,8039,20602,28641,0.01338
PRJNA912096,.,Moraxella osloensis,34062,S,59,1,60,0.01312
PRJNA912096,.,Blautia wexlerae,418240,S,188,559,747,0.01298
PRJDB10068,.,Streptococcus agalactiae,1311,S,364,9758,10122,0.01287
PRJNA744578,.,Streptococcus agalactiae,1311,S,1093,158669,159762,0.0127
PRJDB10068,.,Staphylococcus aureus,1280,S,4363,5120,9483,0.01251
PRJNA564695,.,Moraxella osloensis,34062,S,10913,18,10931,0.01245
PRJNA894103,.,Bifidobacterium longum,216816,S,9121,25773,34894,0.012
PRJDB10133,.,Cutibacterium acnes,1747,S,13547,259,13806,0.01067
PRJNA1077663,.,Corynebacterium glutamicum,1718,S,173,47168,47341,0.01051
PRJNA1010661,.,Cutibacterium acnes,1747,S,943,42,985,0.01043
PRJNA912096,.,Bifidobacterium longum,216816,S,79,140,219,0.01031
PRJNA1010661,.,Escherichia coli,562,S,586,938,1524,0.01009
PRJNA744578,.,Muribaculum intestinale,1796646,S,108412,3449,111861,0.01009
PRJNA749068,.,Paucibacter sp. S2-9,3019553,S,111208,1759,112967,0.01
PRJNA912096,.,Faecalibacterium prausnitzii,853,S,47,134,181,0.00988
PRJNA1048377,.,Staphylococcus epidermidis,1282,S,28537,706,29243,0.00923
PRJNA807746,.,Moraxella osloensis,34062,S,37936,30,37966,0.00919
PRJNA802336,.,Blautia wexlerae,418240,S,9179507,965207,10144714,0.00907
PRJDB15234,.,Pseudomonas aeruginosa,287,S,248,11050,11298,0.00901
PRJDB10068,.,Corynebacterium glutamicum,1718,S,37,6951,6988,0.009
PRJNA1048377,.,Cutibacterium acnes,1747,S,5230,31,5261,0.00887
PRJNA744578,.,Corynebacterium glutamicum,1718,S,303,105918,106221,0.00864
PRJNA749068,.,Staphylococcus aureus,1280,S,13619,53080,66699,0.00827
PRJNA720296,.,Simonsiella muelleri,72,S,42313,1920,44233,0.00827
PRJNA807746,.,Faecalibacterium prausnitzii,853,S,18910,19806,38716,0.00825
PRJNA1048173,.,Corynebacterium glutamicum,1718,S,2331,325495,327826,0.00811
PRJNA486134,.,Pseudomonas aeruginosa,287,S,199,52246,52445,0.00804
PRJNA564695,.,Pseudomonas sp. S150,2559074,S,73,7438,7511,0.0077
PRJNA695410,.,Corynebacterium glutamicum,1718,S,194,21833,22027,0.0077
PRJNA894103,.,Staphylococcus aureus,1280,S,8554,42882,51436,0.00721
PRJNA564695,.,Streptococcus agalactiae,1311,S,1298,9506,10804,0.00711
PRJNA894103,.,Streptococcus agalactiae,1311,S,286,24789,25075,0.00658
PRJDB10068,.,Pseudomonas aeruginosa,287,S,1517,3545,5062,0.00646
PRJDB10068,.,Cutibacterium acnes,1747,S,4859,83,4942,0.00639
PRJNA1010661,.,Staphylococcus aureus,1280,S,40,765,805,0.00639
PRJNA629667,.,Pseudomonas aeruginosa,287,S,6711,46648,53359,0.00614
PRJNA912096,.,Staphylococcus epidermidis,1282,S,11967,4396,16363,0.00595
PRJNA744578,.,Staphylococcus aureus,1280,S,5972,60900,66872,0.00559
PRJNA912212,.,Streptococcus pneumoniae,1313,S,459,12066,12525,0.00558
PRJNA629667,.,Streptococcus agalactiae,1311,S,2983,43335,46318,0.00554
PRJNA720296,.,Staphylococcus aureus,1280,S,4547,24817,29364,0.00548
PRJNA910807,.,Bifidobacterium longum,216816,S,319,2337,2656,0.00548
PRJNA912212,.,Streptococcus agalactiae,1311,S,239,13812,14051,0.00543
PRJNA749068,.,Cutibacterium acnes,1747,S,43430,90,43520,0.005
PRJNA398289,.,Moraxella osloensis,34062,S,4572566,52605,4625171,0.00494
PRJNA818470,.,Staphylococcus aureus,1280,S,29478,49076,78554,0.00488
PRJNA429692,.,Moraxella osloensis,34062,S,5612097,70915,5683012,0.00468
PRJNA720296,.,Corynebacterium glutamicum,1718,S,60,22596,22656,0.00463
PRJNA721101,.,Muribaculum intestinale,1796646,S,4386,150,4536,0.00458
PRJNA749068,.,Muribaculum intestinale,1796646,S,32,4,36,0.00449
PRJNA486134,.,Cutibacterium acnes,1747,S,5180,13214,18394,0.00445
PRJNA629667,.,Pseudomonas sp. S150,2559074,S,307,41446,41753,0.00444
PRJNA1044261,.,Paucibacter sp. S2-9,3019553,S,25645,297,25942,0.00422
PRJNA692666,.,Streptococcus agalactiae,1311,S,122,5771,5893,0.00417
PRJNA695410,.,Staphylococcus aureus,1280,S,1409,9008,10417,0.00417
PRJNA744578,.,Streptococcus pneumoniae,1313,S,1343,51150,52493,0.00416
PRJNA629667,.,Staphylococcus epidermidis,1282,S,36529,638,37167,0.00416
PRJEB21503,.,Paracoccus yeei,147645,S,26,5,31,0.00412
PRJDB15234,.,Bifidobacterium longum,216816,S,1504,1979,3483,0.00408
PRJNA629667,.,Cutibacterium acnes,1747,S,31598,335,31933,0.0039
PRJNA802336,.,Staphylococcus epidermidis,1282,S,13163,920,14083,0.00377
PRJNA610482,.,Escherichia coli,562,S,27100,29050,56150,0.00375
PRJDB10133,.,Moraxella osloensis,34062,S,1849,14,1863,0.00375
PRJDB10133,.,Achromobacter xylosoxidans,85698,S,383,13154,13537,0.00357
PRJNA910807,.,Moraxella osloensis,34062,S,621,12,633,0.0035
PRJNA879945,.,Streptococcus pneumoniae,1313,S,33,2540,2573,0.00345
PRJNA912212,.,Pseudomonas aeruginosa,287,S,122,4594,4716,0.00336
PRJNA1077663,.,Staphylococcus aureus,1280,S,802,16118,16920,0.00328
PRJNA879945,.,Escherichia coli,562,S,19,652,671,0.0032
PRJDB15234,.,Simonsiella muelleri,72,S,3070,31,3101,0.00314
PRJNA721101,.,Faecalibacterium prausnitzii,853,S,2944,3481,6425,0.00296
PRJNA721101,.,Staphylococcus epidermidis,1282,S,4214,834,5048,0.00292
PRJNA1048173,.,Moraxella osloensis,34062,S,105769,324,106093,0.00289
PRJNA749068,.,Pseudomonas sp. S150,2559074,S,185,35406,35591,0.00286
PRJNA1048377,.,Simonsiella muelleri,72,S,3853,76,3929,0.00278
PRJNA564695,.,Streptococcus pneumoniae,1313,S,452,4053,4505,0.00271
PRJNA692666,.,Streptococcus pneumoniae,1313,S,93,3700,3793,0.00267
PRJNA807746,.,Streptococcus agalactiae,1311,S,79,14391,14470,0.00265
PRJNA1077663,.,Simonsiella muelleri,72,S,14554,594,15148,0.00261
PRJNA629667,.,Streptococcus pneumoniae,1313,S,1957,20148,22105,0.0026
PRJNA807746,.,Paucibacter sp. S2-9,3019553,S,2875,62,2937,0.00256
PRJNA1044261,.,Simonsiella muelleri,72,S,12757,215,12972,0.0025
PRJNA912212,.,Corynebacterium glutamicum,1718,S,16,5954,5970,0.00245
PRJNA1048173,.,Simonsiella muelleri,72,S,85897,1996,87893,0.00244
PRJNA564695,.,Staphylococcus epidermidis,1282,S,2921,49,2970,0.0023
PRJDB15234,.,Staphylococcus epidermidis,1282,S,5048,106,5154,0.00229
PRJNA721101,.,Streptococcus agalactiae,1311,S,18,4691,4709,0.00224
PRJNA847046,.,Faecalibacterium prausnitzii,853,S,2228,6499,8727,0.00221
PRJNA749068,.,Simonsiella muelleri,72,S,25044,556,25600,0.00217
PRJNA721101,.,Streptococcus pneumoniae,1313,S,25,3413,3438,0.00215
PRJNA692666,.,Muribaculum intestinale,1796646,S,5360,340,5700,0.00213
PRJNA629667,.,Paucibacter sp. S2-9,3019553,S,15349,1154,16503,0.00201
PRJNA910807,.,Blautia wexlerae,418240,S,327,219,546,0.00193
PRJDB10133,.,Streptococcus pneumoniae,1313,S,62,1183,1245,0.00192
PRJNA692666,.,Moraxella osloensis,34062,S,1163,0,1163,0.00189
PRJNA802336,.,Moraxella osloensis,34062,S,2241,85,2326,0.00183
PRJNA912212,.,Moraxella osloensis,34062,S,1515,6,1521,0.00179
PRJNA912212,.,Simonsiella muelleri,72,S,1217,104,1321,0.00177
PRJNA610482,.,Moraxella osloensis,34062,S,14261,28,14289,0.00174
PRJNA744578,.,Simonsiella muelleri,72,S,19928,103,20031,0.00166
PRJNA629667,.,Achromobacter xylosoxidans,85698,S,237,11134,11371,0.00153
PRJNA749068,.,Pseudomonas aeruginosa,287,S,159,2471,2630,0.00147
PRJNA721101,.,Blautia wexlerae,418240,S,3087,380,3467,0.00141
PRJNA693337,.,Streptococcus agalactiae,1311,S,94,8072,8166,0.00137
PRJNA807746,.,Bifidobacterium longum,216816,S,127,702,829,0.00133
PRJNA1048173,.,Streptococcus agalactiae,1311,S,478,45541,46019,0.00129
PRJNA910807,.,Streptococcus agalactiae,1311,S,18,1257,1275,0.00127
PRJDB10133,.,Streptococcus agalactiae,1311,S,48,912,960,0.00121
PRJNA894103,.,Cutibacterium acnes,1747,S,13430,48,13478,0.00112
PRJEB55147,.,Escherichia coli,562,S,433,3762,4195,0.00105
PRJNA693337,.,Pseudomonas aeruginosa,287,S,21,1830,1851,0.00096
PRJNA720296,.,Muribaculum intestinale,1796646,S,4631,157,4788,0.00091
PRJNA564695,.,Pseudomonas aeruginosa,287,S,25,699,724,0.00089
PRJNA692666,.,Staphylococcus epidermidis,1282,S,1306,152,1458,0.00089
PRJNA695410,.,Simonsiella muelleri,72,S,1717,91,1808,0.00087
PRJEB21503,.,Pseudomonas aeruginosa,287,S,22,219,241,0.00079
PRJNA695410,.,Streptococcus pneumoniae,1313,S,92,2431,2523,0.00072
PRJNA894103,.,Streptococcus pneumoniae,1313,S,98,3265,3363,0.00072
PRJNA1048173,.,Staphylococcus aureus,1280,S,2879,25872,28751,0.00072
PRJNA629667,.,Anoxybacillus flavithermus,33934,S,6049,65,6114,0.00069
PRJNA564695,.,Muribaculum intestinale,1796646,S,518,16,534,0.00069
PRJNA894103,.,Moraxella osloensis,34062,S,1072,2651,3723,0.00066
PRJNA629667,.,Muribaculum intestinale,1796646,S,5636,142,5778,0.00065
PRJNA744578,.,Pseudomonas aeruginosa,287,S,715,6233,6948,0.00064
PRJNA1048173,.,Streptococcus pneumoniae,1313,S,348,21105,21453,0.00061
PRJNA807746,.,Blautia wexlerae,418240,S,1752,292,2044,0.00057
PRJNA807746,.,Escherichia coli,562,S,173,2258,2431,0.00057
PRJNA744578,.,Pseudomonas sp. S150,2559074,S,20,6020,6040,0.00056
PRJNA744578,.,Faecalibacterium prausnitzii,853,S,1059,4430,5489,0.00049
PRJNA629667,.,Escherichia coli,562,S,2176,1632,3808,0.00039
PRJNA1048173,.,Faecalibacterium prausnitzii,853,S,1246,11457,12703,0.00028
PRJEB55147,.,Moraxella osloensis,34062,S,886,3,889,0.00014
