BioProject,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA642342,Candidatus Koribacter versatilis,658062,S,117117,28587,145704,0.0668
PRJDB15234,Sodaliphilus pleomorphus,2606626,S,88496,1440,89936,0.06506
PRJNA879945,Akkermansia muciniphila,239935,S,63320,299,63619,0.06279
PRJNA689968,Candidatus Koribacter versatilis,658062,S,130156,33036,163192,0.06216
PRJNA749068,Moraxella osloensis,34062,S,499672,1561,501233,0.06175
PRJNA720296,Catenovulum sp. TS8,2984846,S,285260,37459,322719,0.06118
PRJNA693337,Blautia wexlerae,418240,S,141753,57089,198842,0.06018
PRJNA937315,Sphingomonas sp. FARSPH,2219696,S,506803,18735,525538,0.05888
PRJNA398289,Cutibacterium acnes,1747,S,28289005,739577,29028582,0.05872
PRJNA807746,Cutibacterium acnes,1747,S,170290,444,170734,0.05863
PRJNA629667,Moraxella osloensis,34062,S,506381,1205,507586,0.05862
PRJNA912212,Flavobacterium sp. M31R6,2739062,S,201981,14312,216293,0.05801
PRJNA879945,Corynebacterium glutamicum,1718,S,189,105591,105780,0.05794
PRJDB15234,Duncaniella sp. B8,2576606,S,63442,7634,71076,0.05757
PRJNA745199,Cutibacterium acnes,1747,S,190698,5616,196314,0.05754
PRJNA629667,Simonsiella muelleri,72,S,465641,38326,503967,0.05695
PRJNA819236,Pseudomonas aeruginosa,287,S,35878,175845,211723,0.05631
PRJNA429692,Cutibacterium acnes,1747,S,28404172,743395,29147567,0.05623
PRJNA692666,Staphylococcus aureus,1280,S,15496,66077,81573,0.05534
PRJNA328002,Acidovorax temperans,80878,S,51,0,51,0.05496
PRJNA721101,Staphylococcus aureus,1280,S,2706,78801,81507,0.05476
PRJNA689968,Faecalibacterium prausnitzii,853,S,24920,128518,153438,0.05363
PRJNA642342,Faecalibacterium prausnitzii,853,S,19917,106984,126901,0.05363
PRJNA1044261,Pseudomonas putida,303,S,9918,33300,43218,0.05347
PRJNA807746,Staphylococcus aureus,1280,S,8704,176422,185126,0.05327
PRJNA1048377,Acinetobacter sp. AOR07_HL,2919376,S,1494,29486,30980,0.05296
PRJNA1048173,Cupriavidus oxalaticus,96344,S,7906,1974754,1982660,0.05268
PRJDB10133,Stenotrophomonas maltophilia,40324,S,3551,133446,136997,0.05248
PRJNA1044261,Pseudomonas sp. JS425,2829498,S,1389,43901,45290,0.05193
PRJNA328002,Sphingomonas sp. NIBR02145,3014784,S,1471,5636,7107,0.0505
PRJNA910807,Corynebacterium kroppenstedtii,161879,S,25882,6094,31976,0.05047
PRJNA847046,Escherichia coli,562,S,16303,125758,142061,0.04892
PRJNA1010661,Listeria monocytogenes,1639,S,6975,486,7461,0.04892
PRJNA328002,Delftia acidovorans,80866,S,16,2,18,0.04891
PRJDB10133,Achromobacter spanius,217203,S,782,136417,137199,0.04851
PRJNA749068,Caldalkalibacillus thermarum,296745,S,188902,34713,223615,0.0465
PRJNA629667,Methylobacterium radiotolerans,31998,S,364403,19024,383427,0.04571
PRJNA912096,Segatella copri,165179,S,7157,5,7162,0.04554
PRJNA910807,Simonsiella muelleri,72,S,95020,2874,97894,0.04549
PRJNA721101,Simonsiella muelleri,72,S,65809,339,66148,0.04487
PRJNA802336,Cutibacterium acnes,1747,S,533156,16502,549658,0.04451
PRJNA381365,Cellulosimicrobium cellulans,1710,S,251610,358350,609960,0.04444
PRJNA879945,Cutibacterium acnes,1747,S,16941,82,17023,0.04399
PRJNA693337,Faecalibacterium prausnitzii,853,S,15053,128499,143552,0.0435
PRJNA720296,Phenylobacterium parvum,2201350,S,229543,7571,237114,0.04315
PRJNA610482,Staphylococcus aureus,1280,S,5944235,10763202,16707437,0.04199
PRJNA912212,Staphylococcus aureus,1280,S,19320,46324,65644,0.04125
PRJNA610482,Weissella cibaria,137591,S,9236151,214844,9450995,0.04117
PRJDB10068,Sphingomonas paucimobilis,13689,S,414,30613,31027,0.03964
PRJNA912212,Ralstonia sp. RS650,2880990,S,1005,111777,112782,0.03939
PRJNA802336,Bifidobacterium animalis,28025,S,51428424,971093,52399517,0.03917
PRJNA564695,Simonsiella muelleri,72,S,49925,2942,52867,0.03866
PRJNA1048377,Pseudomonas aeruginosa,287,S,20726,171959,192685,0.03853
PRJNA328002,Sphingomonas sp. FARSPH,2219696,S,224,4372,4596,0.03839
PRJNA328002,Brucella abortus,235,S,25,10106,10131,0.03786
PRJNA1077663,Pseudomonas aeruginosa,287,S,16618,181825,198443,0.03729
PRJDB15234,Delftia tsuruhatensis,180282,S,379,57853,58232,0.03706
PRJNA847046,Haemophilus influenzae,727,S,75226,133024,208250,0.03683
PRJNA721101,Sphingobium chlorophenolicum,46429,S,225,80033,80258,0.03654
PRJNA818470,Candida albicans,5476,S,1975878,26,1975904,0.0362
PRJNA818470,Aspergillus flavus,5059,S,1531656,10211,1541867,0.03554
PRJNA1048173,Corynebacterium diphtheriae,1717,S,7567,1355744,1363311,0.03469
PRJNA381365,Burkholderia arboris,488730,S,148342,47473,195815,0.03443
PRJNA910807,Corynebacterium glutamicum,1718,S,269,82842,83111,0.03402
PRJNA629667,Sphingomonas sp. NBWT7,2596913,S,10009,275238,285247,0.03397
PRJNA1048173,Corynebacterium sp. ATCC 6931,1487956,S,19509,1317066,1336575,0.03365
PRJNA802336,Rothia mucilaginosa,43675,S,38908416,356218,39264634,0.03293
PRJNA721101,Moraxella osloensis,34062,S,47192,144,47336,0.03198
PRJNA807746,Corynebacterium glutamicum,1718,S,391,130896,131287,0.03153
PRJNA847046,Streptococcus thermophilus,1308,S,84293,144201,228494,0.03097
PRJDB10133,Pseudomonas aeruginosa,287,S,7406,50170,57576,0.03074
PRJEB21503,Bradyrhizobium sp. SK17,2057741,S,2278,412,2690,0.03058
PRJDB15234,Barnesiella viscericola,397865,S,35467,1925,37392,0.03056
PRJNA720296,Catenovulum sediminis,1740262,S,146799,15730,162529,0.03055
PRJNA879945,Moraxella osloensis,34062,S,23683,60,23743,0.03051
PRJNA328002,Vesiculovirus indiana,1972577,S,75,0,75,0.03034
PRJNA1048377,Moraxella bovoculi,386891,S,14416,13880,28296,0.03003
PRJDB10133,Methylobacterium nodulans,114616,S,2201,86366,88567,0.02997
PRJNA486134,Sphingomonas melonis,152682,S,34347,19469,53816,0.02972
PRJNA328002,Rubivirus rubellae,2846071,S,290,0,290,0.02912
PRJNA912096,Streptococcus pneumoniae,1313,S,588,45511,46099,0.02906
PRJNA847046,Rothia mucilaginosa,43675,S,177660,23617,201277,0.02883
PRJNA381365,Mycobacteroides chelonae,1774,S,73832,2606,76438,0.02863
PRJNA807746,Pseudomonas aeruginosa,287,S,2861,103191,106052,0.02858
PRJNA912212,Ralstonia solanacearum,305,S,4262,74384,78646,0.02855
PRJEB21503,Staphylococcus hominis,1290,S,1111,88,1199,0.02844
PRJNA912096,Pseudomonas aeruginosa,287,S,1662,60415,62077,0.02844
PRJNA610482,Staphylococcus warneri,1292,S,7598615,5579160,13177775,0.02842
PRJNA749068,Anoxybacillus flavithermus,33934,S,285290,67502,352792,0.02841
PRJNA328002,Sordaria macrospora,5147,S,25,0,25,0.02694
PRJNA879945,Streptomyces sp. CB00271,2750025,S,61030,810,61840,0.02687
PRJNA912096,Muribaculum intestinale,1796646,S,232,4,236,0.02649
PRJNA879945,Staphylococcus aureus,1280,S,888,23652,24540,0.02638
PRJNA381365,Staphylococcus aureus,1280,S,463588,1422721,1886309,0.02635
PRJNA749068,Enterococcus faecium,1352,S,16186,292690,308876,0.02601
PRJNA912096,Methylobacterium sp. FF17,2984843,S,170,0,170,0.02591
PRJNA692666,Simonsiella muelleri,72,S,34612,3281,37893,0.02591
PRJNA692666,Corynebacterium sp. ATCC 6931,1487956,S,345,43339,43684,0.02557
PRJNA1010661,Corynebacterium macginleyi,38290,S,4073,153,4226,0.02538
PRJNA894103,Faecalibacterium prausnitzii,853,S,6790,72296,79086,0.02533
PRJNA912096,Bacteroides fragilis,817,S,98,30,128,0.02501
PRJNA819236,Muribaculum intestinale,1796646,S,99532,1646,101178,0.02464
PRJNA486134,Ralstonia pickettii,329,S,36354,3941,40295,0.02458
PRJDB15234,Limosilactobacillus reuteri,1598,S,9718,29145,38863,0.02449
PRJDB10133,Sphingomonas nostoxanthinifaciens,2872652,S,28240,30287,58527,0.02444
PRJEB21503,Pseudomonas fluorescens,294,S,2098,1866,3964,0.02429
PRJNA692666,Cutibacterium acnes,1747,S,23468,125,23593,0.02428
PRJNA894103,Acetobacter aceti,435,S,39887,28743,68630,0.02423
PRJEB21503,Staphylococcus aureus,1280,S,1447,1178,2625,0.02403
PRJNA749068,Desulfovibrio piger,901,S,92,5,97,0.02398
PRJEB21503,Serratia marcescens,615,S,231,148,379,0.02378
PRJDB10133,Staphylococcus aureus,1280,S,8297,23025,31322,0.02311
PRJNA912096,Brevundimonas pondensis,2774189,S,20328,30629,50957,0.02311
PRJNA328002,Verticillium dahliae,27337,S,229,0,229,0.02299
PRJNA564695,Sphingomonas cannabina,2899123,S,5795,20303,26098,0.02295
PRJNA818470,Aspergillus fumigatus,746128,S,1330702,9684,1340386,0.02276
PRJEB21503,Janthinobacterium svalbardensis,368607,S,3045,826,3871,0.02271
PRJNA328002,Staphylococcus xylosus,1288,S,21,0,21,0.02263
PRJNA721101,Chryseobacterium sp. 6424,2039166,S,19260,15454,34714,0.0226
PRJNA564695,Corynebacterium sp. ATCC 6931,1487956,S,336,35683,36019,0.02242
PRJNA629667,Sphingomonas nostoxanthinifaciens,2872652,S,2822,186788,189610,0.02219
PRJEB21503,Bradyrhizobium sp. CCBAU 53421,1325120,S,1537,351,1888,0.02215
PRJNA879945,Duncaniella sp. B8,2576606,S,22214,315,22529,0.02197
PRJDB10133,Acinetobacter ursingii,108980,S,36826,360,37186,0.02173
PRJNA879945,Pseudomonas aeruginosa,287,S,598,27819,28417,0.0217
PRJNA381365,Simplexvirus humanalpha1,3050292,S,972599,351,972950,0.0217
PRJEB55147,Corynebacterium bovis,36808,S,1582664,6207,1588871,0.02166
PRJNA564695,Corynebacterium diphtheriae,1717,S,266,40540,40806,0.02123
PRJNA721101,Acinetobacter baumannii,470,S,963,33134,34097,0.02121
PRJNA912096,Kroppenstedtia eburnea,714067,S,63,9,72,0.02104
PRJNA695410,Muribaculum intestinale,1796646,S,59006,2605,61611,0.02101
PRJNA1048377,Corynebacterium glutamicum,1718,S,154,31201,31355,0.02081
PRJNA328002,Allomyces macrogynus,28583,S,19,0,19,0.02047
PRJNA802336,Enterocloster bolteae,208479,S,24814273,459662,25273935,0.02042
PRJNA910807,Corynebacterium sp. ATCC 6931,1487956,S,113,45488,45601,0.0203
PRJNA912096,Enterococcus faecium,1352,S,301,19552,19853,0.0202
PRJEB21503,Salmonella enterica,28901,S,147,2788,2935,0.02011
PRJNA807746,Simonsiella muelleri,72,S,61074,1164,62238,0.01997
PRJNA910807,Corynebacterium kutscheri,35755,S,3856,1704,5560,0.01986
PRJNA802336,Actinomyces sp. oral taxon 414,712122,S,36354313,686387,37040700,0.0198
PRJEB21503,Acinetobacter sp. MYb10,1827285,S,2136,1149,3285,0.01977
PRJNA912096,Prevotella dentalis,52227,S,157,72,229,0.01962
PRJNA802336,Escherichia coli,562,S,562,11885,12447,0.01958
PRJEB55147,Corynebacterium accolens,38284,S,3946088,732690,4678778,0.01953
PRJDB10068,Pseudomonas sp. S150,2559074,S,221,15068,15289,0.01952
PRJNA629667,Acinetobacter sp. AOR07_HL,2919376,S,1976,174373,176349,0.01946
PRJNA802336,Neisseria subflava,28449,S,14613752,5131713,19745465,0.0194
PRJNA910807,Corynebacterium bovis,36808,S,6834,677,7511,0.01938
PRJNA894103,Bifidobacterium adolescentis,1680,S,43011,6034,49045,0.01935
PRJNA744578,Acinetobacter sp. AOR07_HL,2919376,S,638,226912,227550,0.0193
PRJNA629667,Corynebacterium sp. ATCC 6931,1487956,S,3670,164879,168549,0.01899
PRJNA486134,Rous sarcoma virus,11886,S,4840,8650,13490,0.0189
PRJNA937315,Staphylococcus epidermidis,1282,S,16312,1240,17552,0.0189
PRJNA910807,Corynebacterium ulcerans,65058,S,141,3506,3647,0.0188
PRJDB10133,Acinetobacter sp. AOR07_HL,2919376,S,508,42042,42550,0.01877
PRJNA894103,Corynebacterium glutamicum,1718,S,350,80284,80634,0.01843
PRJNA894103,Phocaeicola vulgatus,821,S,55767,730,56497,0.01837
PRJNA398289,Acinetobacter junii,40215,S,10143962,1054439,11198401,0.01814
PRJNA802336,Blautia hansenii,1322,S,19331588,1233874,20565462,0.01807
PRJDB10133,Pandoraea sputorum,93222,S,693,42541,43234,0.01794
PRJNA802336,Prevotella intermedia,28131,S,1456708,206914,1663622,0.01793
PRJNA721101,Streptococcus equi,1336,S,34994,201,35195,0.01791
PRJNA1077663,Ralstonia sp. RS650,2880990,S,432,139438,139870,0.01773
PRJNA912212,Corynebacterium aquatimens,1190508,S,4588,23427,28015,0.01771
PRJNA802336,Streptococcus pneumoniae,1313,S,16787,881,17668,0.0174
PRJDB15234,Lactobacillus taiwanensis,508451,S,19761,27262,47023,0.01724
PRJNA429692,Acinetobacter junii,40215,S,10143958,1054440,11198398,0.01718
PRJNA1077663,Cutibacterium acnes,1747,S,92779,687,93466,0.01696
PRJNA807746,Corynebacterium sanguinis,2594913,S,4222,35563,39785,0.01692
PRJDB10133,Yersinia pestis,632,S,6210,43138,49348,0.01679
PRJDB15234,Cutibacterium acnes,1747,S,16803,69,16872,0.01678
PRJNA749068,Escherichia coli,562,S,106498,74268,180766,0.01666
PRJNA486134,Pseudomonas sp. G11,528343,S,1483,30523,32006,0.01651
PRJNA692666,Pseudomonas aeruginosa,287,S,9973,20845,30818,0.01629
PRJNA912096,Moraxella ovis,29433,S,22,33278,33300,0.01624
PRJNA745199,Burkholderia cenocepacia,95486,S,104572,216575,321147,0.01609
PRJNA912212,Ponticoccus alexandrii,1943633,S,52757,3978,56735,0.01603
PRJEB21503,Janthinobacterium tructae,2590869,S,1949,543,2492,0.01584
PRJNA398289,Staphylococcus epidermidis,1282,S,968961,86609,1055570,0.01581
PRJNA910807,Corynebacterium accolens,38284,S,151,10636,10787,0.01571
PRJDB10133,Sphingomonas paucimobilis,13689,S,332,23262,23594,0.0157
PRJNA1010661,Acinetobacter nosocomialis,106654,S,1571,304,1875,0.01562
PRJNA818470,Pseudomonas sp. CIP-10,2892442,S,185221,67094,252315,0.01549
PRJNA610482,Alphatorquevirus homin19,3048420,S,225294,9652,234946,0.0154
PRJNA802336,Bifidobacterium bifidum,1681,S,5916126,11946421,17862547,0.01536
PRJNA912096,Streptomyces sp. CB00271,2750025,S,32,13,45,0.01521
PRJEB21503,Escherichia coli,562,S,1050,3374,4424,0.01519
PRJDB10068,Delftia lacustris,558537,S,83,11717,11800,0.01504
PRJNA398289,Haemophilus influenzae,727,S,374556,53162,427718,0.01498
PRJNA429692,Staphylococcus epidermidis,1282,S,968961,86609,1055570,0.01497
PRJNA328002,Mycolicibacterium aubagnense,319707,S,71,78,149,0.01496
PRJNA879945,Muribaculum intestinale,1796646,S,15315,267,15582,0.0149
PRJNA807746,Yersinia pestis,632,S,821,96077,96898,0.01482
PRJNA894103,Streptomyces mobaraensis,35621,S,353,45333,45686,0.01479
PRJNA847046,Streptococcus pneumoniae,1313,S,14714,76106,90820,0.01476
PRJNA692666,Moraxella ovis,29433,S,197,29258,29455,0.01464
PRJNA847046,Klebsiella pneumoniae,573,S,4952,2641,7593,0.01455
PRJEB21503,Paenibacillus marchantiae,3026433,S,179,19,198,0.01452
PRJNA912096,Flintibacter sp. KGMB00164,2610895,S,22,11,33,0.01449
PRJNA486134,Escherichia coli,562,S,116,14829,14945,0.01431
PRJNA879945,Castellaniella defragrans,75697,S,20385,210,20595,0.01421
PRJNA720296,Faecalibacterium prausnitzii,853,S,24237,52369,76606,0.01419
PRJNA429692,Haemophilus influenzae,727,S,374556,53162,427718,0.01419
PRJNA328002,Prevotella melaninogenica,28132,S,170,12,182,0.01409
PRJNA749068,Parageobacillus caldoxylosilyticus,81408,S,137617,8125,145742,0.0137
PRJNA819236,Akkermansia muciniphila,239935,S,53138,3256,56394,0.01367
PRJNA818470,Janthinobacterium agaricidamnosum,55508,S,209561,357,209918,0.01366
PRJEB21503,Bradyrhizobium quebecense,2748629,S,789,264,1053,0.01363
PRJDB10068,Streptococcus thermophilus,1308,S,3378,7210,10588,0.01359
PRJNA937315,Ralstonia pickettii,329,S,142422,4182,146604,0.01354
PRJNA894103,Simonsiella muelleri,72,S,46126,510,46636,0.01349
PRJNA912096,Brevefilum fermentans,1986204,S,53,0,53,0.0134
PRJDB15234,Staphylococcus aureus,1280,S,8039,20602,28641,0.01338
PRJNA629667,Chryseobacterium sp. 6424,2039166,S,82140,34954,117094,0.0133
PRJNA381365,Candida albicans,5476,S,46384,12,46396,0.01315
PRJNA912096,Moraxella osloensis,34062,S,59,1,60,0.01312
PRJNA802336,Neisseria perflava,33053,S,101295,25876242,25977537,0.01309
PRJNA912096,Blautia wexlerae,418240,S,188,559,747,0.01298
PRJNA629667,Finegoldia magna,1260,S,112293,260,112553,0.01292
PRJDB10068,Streptococcus agalactiae,1311,S,364,9758,10122,0.01287
PRJNA744578,Streptococcus agalactiae,1311,S,1093,158669,159762,0.0127
PRJNA802336,Blautia producta,33035,S,15671087,272885,15943972,0.0127
PRJDB15234,Sphingomonas nostoxanthinifaciens,2872652,S,230,18004,18234,0.01268
PRJNA937315,Pandoraea norimbergensis,93219,S,114998,3804,118802,0.01262
PRJDB10068,Staphylococcus aureus,1280,S,4363,5120,9483,0.01251
PRJNA564695,Moraxella osloensis,34062,S,10913,18,10931,0.01245
PRJNA807746,Ligilactobacillus salivarius,1624,S,54267,1294,55561,0.01232
PRJDB10133,Kocuria sp. KD4,2719588,S,144,38322,38466,0.01225
PRJNA610482,Weissella confusa,1583,S,2004039,40993,2045032,0.01218
PRJNA693337,Candidatus Profftella armatura,669502,S,49272,329,49601,0.01207
PRJNA894103,Bifidobacterium longum,216816,S,9121,25773,34894,0.012
PRJNA912096,Lentibacillus daqui,2911514,S,67,3,70,0.01176
PRJDB10133,Comamonas sp. PR12,2977320,S,69,33366,33435,0.01167
PRJNA912212,Bacillus cereus,1396,S,12261,27468,39729,0.01156
PRJNA328002,Bacillus thuringiensis,1428,S,16,133,149,0.01153
PRJEB21503,Bradyrhizobium sp. 41S5,1404443,S,511,280,791,0.01141
PRJDB15234,Ligilactobacillus salivarius,1624,S,316,25376,25692,0.01137
PRJNA1048377,Anabaena sp. YBS01,2490939,S,3248,3922,7170,0.01134
PRJNA486134,Y73 sarcoma virus,11884,S,16205,42870,59075,0.0112
PRJNA486134,Streptococcus parasanguinis,1318,S,8559,2592,11151,0.01114
PRJNA749068,Ralstonia mannitolilytica,105219,S,121552,17424,138976,0.01108
PRJNA564695,Haemophilus influenzae,727,S,13931,3870,17801,0.01107
PRJNA721101,Corynebacterium sp. ATCC 6931,1487956,S,82,23103,23185,0.01102
PRJNA894103,Segatella copri,165179,S,35406,9,35415,0.01098
PRJNA1077663,Methanothrix soehngenii,2223,S,25786,7,25793,0.01089
PRJDB10068,Rhodococcus erythropolis,1833,S,580,8006,8586,0.01086
PRJNA749068,Bosea sp. NBC_00550,2969621,S,72362,10286,82648,0.01075
PRJNA802336,Ruminococcus gnavus,33038,S,11912969,667204,12580173,0.01074
PRJNA695410,Duncaniella sp. B8,2576606,S,28288,1332,29620,0.01073
PRJNA1044261,Comamonas sp. 7D-2evo1,2927787,S,136,55100,55236,0.01071
PRJNA912212,Staphylococcus capitis,29388,S,20922,202,21124,0.01068
PRJDB10133,Cutibacterium acnes,1747,S,13547,259,13806,0.01067
PRJNA695410,Segatella copri,165179,S,24357,177,24534,0.01064
PRJNA1077663,Corynebacterium glutamicum,1718,S,173,47168,47341,0.01051
PRJNA695410,Faecalibaculum rodentium,1702221,S,25477,264,25741,0.01045
PRJEB21503,Plasmodium falciparum,5833,S,1457,407,1864,0.01044
PRJNA1010661,Cutibacterium acnes,1747,S,943,42,985,0.01043
PRJNA912096,Bifidobacterium longum,216816,S,79,140,219,0.01031
PRJNA807746,Corynebacterium heidelbergense,2055947,S,23226,8427,31653,0.0103
PRJNA1010661,Escherichia coli,562,S,586,938,1524,0.01009
PRJNA744578,Muribaculum intestinale,1796646,S,108412,3449,111861,0.01009
PRJNA912096,Geodermatophilus obscurus,1861,S,44,2,46,0.01002
PRJNA749068,Paucibacter sp. S2-9,3019553,S,111208,1759,112967,0.01
PRJDB10133,Stenotrophomonas indicatrix,2045451,S,145,39142,39287,0.00995
PRJNA721101,Candidatus Kaistella beijingensis,2820270,S,14389,284,14673,0.00995
PRJNA912096,Faecalibacterium prausnitzii,853,S,47,134,181,0.00988
PRJNA629667,Acinetobacter baumannii,470,S,44522,40378,84900,0.0098
PRJNA629667,Dolosigranulum pigrum,29394,S,86991,355,87346,0.0098
PRJNA328002,Orthopneumovirus hominis,3049954,S,24,0,24,0.00971
PRJNA802336,Roseburia intestinalis,166486,S,8843453,1693170,10536623,0.00971
PRJNA886972,Aquabacterium olei,1296669,S,3673405,179780,3853185,0.00968
PRJNA807746,Corynebacterium afermentans,38286,S,371,34465,34836,0.00965
PRJNA744578,Streptomyces sp. CB00271,2750025,S,111306,5264,116570,0.00958
PRJNA879945,Abiotrophia defectiva,46125,S,7236,12,7248,0.00958
PRJNA721101,Acinetobacter sp. NyZ410,2929509,S,6395,7462,13857,0.00955
PRJNA720296,Corynebacterium sp. ATCC 6931,1487956,S,1479,47630,49109,0.00955
