BioProject,Run,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJDB10133,DRR235903,Stenotrophomonas maltophilia,40324,S,318,10111,10429,0.12011
PRJDB10133,DRR235904,synthetic construct,32630,S,38386,0,38386,0.48827
PRJDB10133,DRR235904,Achromobacter xylosoxidans,85698,S,318,10857,11175,0.14214
PRJDB10133,DRR235905,Flavobacterium columnare,996,S,235,11104,11339,0.12882
PRJDB10133,DRR235905,Acinetobacter sp. AOR07_HL,2919376,S,74,8817,8891,0.10101
PRJDB10133,DRR235906,Sphingobacterium multivorum,28454,S,24486,16966,41452,0.46860
PRJDB10133,DRR235906,Herbaspirillum huttiense,863372,S,15174,702,15876,0.17947
PRJDB10133,DRR235907,Methylobacterium nodulans,114616,S,1826,29376,31202,0.35540
PRJDB10133,DRR235907,Kocuria sp. KD4,2719588,S,33,19672,19705,0.22445
PRJDB10133,DRR235907,Brevundimonas naejangsanensis,588932,S,402,18075,18477,0.21046
PRJDB10133,DRR235908,Sphingomonas nostoxanthinifaciens,2872652,S,23362,13423,36785,0.36143
PRJDB10133,DRR235908,Fluviicola taffensis,191579,S,20796,209,21005,0.20638
PRJDB10133,DRR235909,Pseudomonas sp. HN2,2884805,S,5988,12922,18910,0.23252
PRJDB10133,DRR235909,Sphingobacterium spiritivorum,258,S,10102,77,10179,0.12516
PRJDB10133,DRR235909,Pseudomonas sp. S150,2559074,S,81,9379,9460,0.11632
PRJDB10133,DRR235910,Stenotrophomonas indicatrix,2045451,S,75,25870,25945,0.31114
PRJDB10133,DRR235910,Pseudomonas sp. S150,2559074,S,49,10379,10428,0.12506
PRJDB10133,DRR235910,Stenotrophomonas maltophilia,40324,S,142,9331,9473,0.11360
PRJDB10133,DRR235911,Elizabethkingia bruuniana,1756149,S,29446,1290,30736,0.28450
PRJDB10133,DRR235911,Sphingobium phenoxybenzoativorans,1592790,S,130,19072,19202,0.17774
PRJDB10133,DRR235911,Sphingobium chlorophenolicum,46429,S,112,18050,18162,0.16811
PRJDB10133,DRR235911,Sphingobium sp. SYK-6,627192,S,251,11062,11313,0.10472
PRJDB10133,DRR235912,Pseudomonas sp. S150,2559074,S,120,19918,20038,0.52893
PRJDB10133,DRR235912,Pseudomonas aeruginosa,287,S,693,3721,4414,0.11651
PRJDB10133,DRR235913,synthetic construct,32630,S,15216,0,15216,0.59174
PRJDB10133,DRR235913,Elizabethkingia bruuniana,1756149,S,4920,188,5108,0.19865
PRJDB10133,DRR235913,Stenotrophomonas maltophilia,40324,S,37,2770,2807,0.10916
PRJDB10133,DRR235914,Bradyrhizobium diazoefficiens,1355477,S,311,14020,14331,0.24575
PRJDB10133,DRR235914,Mariniblastus fucicola,980251,S,6650,63,6713,0.11512
PRJDB10133,DRR235915,Pseudomonas sp. S150,2559074,S,99,18464,18563,0.51060
PRJDB10133,DRR235915,Pseudomonas aeruginosa,287,S,618,3761,4379,0.12045
PRJDB10133,DRR235916,Achromobacter spanius,217203,S,107,36113,36220,0.76653
PRJDB10133,DRR235917,Achromobacter spanius,217203,S,62,28694,28756,0.77347
PRJDB10133,DRR235917,Achromobacter insolitus,217204,S,174,4172,4346,0.11690
PRJDB10133,DRR235918,Pseudomonas sp. S150,2559074,S,85,18637,18722,0.43796
PRJDB10133,DRR235918,Pseudomonas aeruginosa,287,S,680,4482,5162,0.12075
PRJDB10133,DRR235919,Sphingomonas nostoxanthinifaciens,2872652,S,1395,9540,10935,0.60672
PRJDB10133,DRR235920,Pseudomonas aeruginosa,287,S,59,1794,1853,0.35765
PRJDB10133,DRR235920,Sphingomonas nostoxanthinifaciens,2872652,S,41,565,606,0.11697
PRJDB10133,DRR235921,Caulobacter segnis,88688,S,4796,2535,7331,0.23393
PRJDB10133,DRR235921,Serratia inhibens,2338073,S,3914,307,4221,0.13469
PRJDB10133,DRR235921,Acinetobacter sp. AOR07_HL,2919376,S,52,3672,3724,0.11883
PRJDB10133,DRR235921,synthetic construct,32630,S,3395,0,3395,0.10833
PRJDB10133,DRR235921,Variovorax paradoxus,34073,S,2895,252,3147,0.10042
PRJDB10133,DRR235922,Acinetobacter ursingii,108980,S,20591,109,20700,0.92609
PRJDB10133,DRR235923,synthetic construct,32630,S,25517,0,25517,0.56977
PRJDB10133,DRR235923,Pseudomonas sp. S150,2559074,S,31,6665,6696,0.14951
PRJDB10133,DRR235924,Stenotrophomonas maltophilia,40324,S,142,7416,7558,0.21365
PRJDB10133,DRR235924,Chryseobacterium gambrini,373672,S,6092,291,6383,0.18044
PRJDB10133,DRR235924,Stenotrophomonas indicatrix,2045451,S,16,4416,4432,0.12529
PRJDB10133,DRR235924,Sphingomonas nostoxanthinifaciens,2872652,S,1542,2546,4088,0.11556
PRJDB10133,DRR235924,Achromobacter insolitus,217204,S,22,3630,3652,0.10324
PRJDB10133,DRR235924,Acinetobacter ursingii,108980,S,3553,15,3568,0.10086
PRJDB10133,DRR235925,synthetic construct,32630,S,16925,0,16925,0.55007
PRJDB10133,DRR235926,Pandoraea sputorum,93222,S,332,31299,31631,0.72217
PRJDB10133,DRR235927,Pandoraea sputorum,93222,S,361,11242,11603,0.31834
PRJDB10133,DRR235927,Achromobacter spanius,217203,S,23,6928,6951,0.19071
PRJDB10133,DRR235927,Pseudomonas sp. S150,2559074,S,27,6368,6395,0.17546
PRJDB10133,DRR235928,Acinetobacter ursingii,108980,S,10508,118,10626,0.18198
PRJDB10133,DRR235928,Chryseobacterium carnipullorum,1124835,S,9053,1341,10394,0.17801
PRJDB10133,DRR235928,Stenotrophomonas maltophilia,40324,S,1119,6051,7170,0.12279
PRJDB10133,DRR235928,Pseudomonas aeruginosa,287,S,380,5689,6069,0.10394
PRJDB10133,DRR235929,Comamonas sp. PR12,2977320,S,21,28745,28766,0.57698
PRJDB10133,DRR235929,Comamonas thiooxydans,363952,S,45,13620,13665,0.27409
PRJDB10133,DRR235930,Weissella ceti,759620,S,135,5470,5605,0.19009
PRJDB10133,DRR235930,Staphylococcus aureus,1280,S,909,3778,4687,0.15896
PRJDB10133,DRR235930,Acinetobacter baumannii,470,S,642,2997,3639,0.12341
PRJDB10133,DRR235931,Pseudomonas sp. S150,2559074,S,36,6270,6306,0.38633
PRJDB10133,DRR235931,Pseudomonas aeruginosa,287,S,321,2020,2341,0.14342
PRJDB10133,DRR235932,Pseudomonas sp. S150,2559074,S,80,14888,14968,0.65822
PRJDB10133,DRR235932,Pseudomonas aeruginosa,287,S,377,2097,2474,0.10880
PRJDB10133,DRR235933,Yersinia pestis,632,S,3802,31638,35440,0.71932
PRJDB10133,DRR235934,Achromobacter spanius,217203,S,89,18927,19016,0.40744
PRJDB10133,DRR235934,Comamonas sp. PR12,2977320,S,48,4621,4669,0.10004
PRJDB10133,DRR235935,Kocuria sp. KD4,2719588,S,111,18650,18761,0.48621
PRJDB10133,DRR235935,Kocuria indica,1049583,S,66,11610,11676,0.30260
PRJDB10133,DRR235935,Roseomonas sp. OT10,2897332,S,58,4319,4377,0.11343
PRJDB10133,DRR235936,synthetic construct,32630,S,7220,0,7220,0.50472
PRJDB10133,DRR235936,Jouyvirus ev017,2844245,S,338,1666,2004,0.14009
PRJDB10133,DRR235937,Delftia tsuruhatensis,180282,S,92,9406,9498,0.21217
PRJDB10133,DRR235937,Chryseobacterium sp. LJ668,2864040,S,8578,614,9192,0.20533
PRJDB10133,DRR235937,Delftia lacustris,558537,S,43,7631,7674,0.17142
PRJDB10133,DRR235937,Stenotrophomonas maltophilia,40324,S,67,6454,6521,0.14567
PRJDB10133,DRR235938,synthetic construct,32630,S,29456,0,29456,0.85763
PRJDB10133,DRR235940,Stenotrophomonas maltophilia,40324,S,99,31489,31588,0.36105
PRJDB10133,DRR235940,Microbacterium sp. KACC 23027,3028316,S,2836,16347,19183,0.21926
PRJDB10133,DRR235940,Brachybacterium faecium,43669,S,4798,4224,9022,0.10312
PRJDB10133,DRR235941,synthetic construct,32630,S,31531,0,31531,0.54017
PRJDB10133,DRR235941,Achromobacter spanius,217203,S,383,17021,17404,0.29816
PRJDB10133,DRR235942,synthetic construct,32630,S,12565,0,12565,0.19526
PRJDB10133,DRR235943,synthetic construct,32630,S,23810,0,23810,0.31406
PRJDB10133,DRR235943,Achromobacter spanius,217203,S,85,21298,21383,0.28205
PRJDB10133,DRR235943,Serratia inhibens,2338073,S,12108,865,12973,0.17112
PRJDB10133,DRR235944,Moraxella osloensis,34062,S,1849,14,1863,0.21772
PRJDB10133,DRR235944,Cutibacterium acnes,1747,S,1258,20,1278,0.14935
PRJDB10133,DRR235944,Lawsonella clevelandensis,1528099,S,974,7,981,0.11464
PRJDB10133,DRR235945,Pseudomonas sp. S150,2559074,S,85,13423,13508,0.48985
PRJDB10133,DRR235945,Pseudomonas aeruginosa,287,S,704,3881,4585,0.16627
PRJDB10133,DRR235946,synthetic construct,32630,S,8278,0,8278,0.21116
PRJDB10133,DRR235946,Mycolicibacterium aubagnense,319707,S,4126,1618,5744,0.14652
PRJDB10133,DRR235947,Methylobacterium nodulans,114616,S,259,44859,45118,0.82293
PRJDB10133,DRR235947,Methylobacterium organophilum,410,S,140,5435,5575,0.10169
PRJDB10133,DRR235948,Methylobacterium aquaticum,270351,S,21,16290,16311,0.44669
PRJDB10133,DRR235948,Methylobacterium organophilum,410,S,74,4182,4256,0.11655
PRJDB10133,DRR235948,Pseudomonas sp. S150,2559074,S,23,4114,4137,0.11330
PRJDB10133,DRR235949,Stenotrophomonas maltophilia,40324,S,438,13183,13621,0.47096
PRJDB10133,DRR235949,Acinetobacter sp. AOR07_HL,2919376,S,72,5805,5877,0.20320
PRJDB10133,DRR235949,Acinetobacter baumannii,470,S,2889,1137,4026,0.13920
PRJDB10133,DRR235950,synthetic construct,32630,S,25705,0,25705,0.75167
PRJDB10133,DRR235951,Pseudomonas sp. S150,2559074,S,58,8634,8692,0.41628
PRJDB10133,DRR235951,Stenotrophomonas maltophilia,40324,S,62,3040,3102,0.14856
PRJDB10133,DRR235951,Pseudomonas aeruginosa,287,S,396,1864,2260,0.10824
PRJDB10133,DRR235952,Stenotrophomonas maltophilia,40324,S,284,12847,13131,0.64790
PRJDB10133,DRR235952,Staphylococcus aureus,1280,S,919,1773,2692,0.13283
PRJDB10133,DRR235952,Rhodopseudomonas boonkerdii,475937,S,1992,390,2382,0.11753
PRJDB10133,DRR235953,Chloracidobacterium validum,2821543,S,5764,340,6104,0.24830
PRJDB10133,DRR235954,Cutibacterium acnes,1747,S,2746,52,2798,0.20491
PRJDB10133,DRR235955,Lactobacillus delbrueckii,1584,S,9200,237,9437,0.23213
PRJDB10133,DRR235956,Methylobacterium nodulans,114616,S,69,8589,8658,0.49813
PRJDB10133,DRR235956,Chryseobacterium gambrini,373672,S,4292,251,4543,0.26138
PRJDB10133,DRR235956,Sphingomonas nostoxanthinifaciens,2872652,S,862,1908,2770,0.15937
PRJDB10133,DRR235957,Sphingomonas paucimobilis,13689,S,261,17929,18190,0.78042
PRJDB10133,DRR235958,Staphylococcus aureus,1280,S,3109,3733,6842,0.24872
PRJDB10133,DRR235958,Staphylococcus pasteuri,45972,S,2855,56,2911,0.10582
PRJDB10133,DRR235959,Staphylococcus aureus,1280,S,2556,11787,14343,0.70378
PRJDB10133,DRR235960,Stenotrophomonas maltophilia,40324,S,653,20022,20675,0.41910
PRJDB10133,DRR235960,Sphingobium yanoikuyae,13690,S,585,7350,7935,0.16085
PRJDB10133,DRR235961,Acinetobacter sp. AOR07_HL,2919376,S,223,15881,16104,0.48323
PRJDB10133,DRR235961,Acinetobacter baumannii,470,S,3361,1777,5138,0.15417
PRJDB10133,DRR235961,Acinetobacter johnsonii,40214,S,4280,121,4401,0.13206
PRJDB15234,DRR442863,Muribaculum intestinale,1796646,S,5014,635,5649,0.18426
PRJDB15234,DRR442863,Sodaliphilus pleomorphus,2606626,S,4016,43,4059,0.13240
PRJDB15234,DRR442864,Muribaculum intestinale,1796646,S,2494,240,2734,0.15546
PRJDB15234,DRR442864,Sodaliphilus pleomorphus,2606626,S,1796,19,1815,0.10321
PRJDB15234,DRR442865,Muribaculum intestinale,1796646,S,4766,699,5465,0.17164
PRJDB15234,DRR442865,Sodaliphilus pleomorphus,2606626,S,3327,44,3371,0.10588
PRJDB15234,DRR442866,Muribaculum intestinale,1796646,S,1853,167,2020,0.18635
PRJDB15234,DRR442866,Sodaliphilus pleomorphus,2606626,S,1401,25,1426,0.13155
PRJDB15234,DRR442867,Muribaculum intestinale,1796646,S,3911,392,4303,0.22020
PRJDB15234,DRR442868,Muribaculum intestinale,1796646,S,3705,544,4249,0.13958
PRJDB15234,DRR442868,Limosilactobacillus reuteri,1598,S,984,2446,3430,0.11267
PRJDB15234,DRR442869,Muribaculum intestinale,1796646,S,1594,114,1708,0.25188
PRJDB15234,DRR442869,Sodaliphilus pleomorphus,2606626,S,717,10,727,0.10721
PRJDB15234,DRR442870,Muribaculum intestinale,1796646,S,2229,243,2472,0.23742
PRJDB15234,DRR442870,Sodaliphilus pleomorphus,2606626,S,1232,22,1254,0.12044
PRJDB15234,DRR442871,Muribaculum intestinale,1796646,S,1079,105,1184,0.23004
PRJDB15234,DRR442871,Duncaniella sp. B8,2576606,S,507,54,561,0.10900
PRJDB15234,DRR442871,Sodaliphilus pleomorphus,2606626,S,510,12,522,0.10142
PRJDB15234,DRR442872,Muribaculum intestinale,1796646,S,2324,395,2719,0.21755
PRJDB15234,DRR442872,Sodaliphilus pleomorphus,2606626,S,1376,28,1404,0.11234
PRJDB15234,DRR442872,Duncaniella sp. B8,2576606,S,1129,228,1357,0.10858
PRJDB15234,DRR442873,Muribaculum intestinale,1796646,S,1731,145,1876,0.16546
PRJDB15234,DRR442874,Muribaculum intestinale,1796646,S,8964,826,9790,0.20497
PRJDB15234,DRR442874,Sodaliphilus pleomorphus,2606626,S,4781,94,4875,0.10207
PRJDB15234,DRR442875,Muribaculum intestinale,1796646,S,8767,1200,9967,0.21018
PRJDB15234,DRR442875,Sodaliphilus pleomorphus,2606626,S,4849,99,4948,0.10434
PRJDB15234,DRR442876,Muribaculum intestinale,1796646,S,3631,361,3992,0.17835
PRJDB15234,DRR442876,Sodaliphilus pleomorphus,2606626,S,2405,15,2420,0.10812
PRJDB15234,DRR442877,Muribaculum intestinale,1796646,S,4480,492,4972,0.21318
PRJDB15234,DRR442877,Sodaliphilus pleomorphus,2606626,S,2471,79,2550,0.10933
PRJDB15234,DRR442877,Duncaniella sp. B8,2576606,S,2175,275,2450,0.10505
PRJDB15234,DRR442878,Muribaculum intestinale,1796646,S,5830,410,6240,0.25352
PRJDB15234,DRR442879,Muribaculum intestinale,1796646,S,2276,291,2567,0.21058
PRJDB15234,DRR442879,Sodaliphilus pleomorphus,2606626,S,1310,33,1343,0.11017
PRJDB15234,DRR442880,Muribaculum intestinale,1796646,S,10001,885,10886,0.20943
PRJDB15234,DRR442881,Muribaculum intestinale,1796646,S,4656,686,5342,0.16564
PRJDB15234,DRR442882,Muribaculum intestinale,1796646,S,1766,180,1946,0.22271
PRJDB15234,DRR442882,Duncaniella sp. B8,2576606,S,873,95,968,0.11078
PRJDB15234,DRR442882,Barnesiella viscericola,397865,S,806,79,885,0.10128
PRJDB15234,DRR442883,Muribaculum intestinale,1796646,S,5086,580,5666,0.18490
PRJDB15234,DRR442884,Muribaculum intestinale,1796646,S,9189,1167,10356,0.17720
PRJDB15234,DRR442885,Muribaculum intestinale,1796646,S,2757,445,3202,0.10307
PRJDB15234,DRR442886,Muribaculum intestinale,1796646,S,7280,735,8015,0.22451
PRJDB15234,DRR442886,Sodaliphilus pleomorphus,2606626,S,4623,75,4698,0.13160
PRJDB15234,DRR442887,Muribaculum intestinale,1796646,S,8383,501,8884,0.18729
PRJDB15234,DRR442887,Sodaliphilus pleomorphus,2606626,S,5927,75,6002,0.12653
PRJDB15234,DRR442888,Rhodopseudomonas boonkerdii,475937,S,235,171,406,0.20735
PRJDB15234,DRR442888,Sodaliphilus pleomorphus,2606626,S,209,0,209,0.10674
PRJDB15234,DRR442889,Muribaculum intestinale,1796646,S,782,0,782,0.19280
PRJDB15234,DRR442889,Rhodopseudomonas boonkerdii,475937,S,352,320,672,0.16568
PRJDB15234,DRR442889,Bifidobacterium animalis,28025,S,22,434,456,0.11243
PRJDB15234,DRR442890,Cutibacterium acnes,1747,S,1488,10,1498,0.31118
PRJDB15234,DRR442890,Muribaculum intestinale,1796646,S,631,139,770,0.15995
PRJDB15234,DRR442890,Rhodopseudomonas boonkerdii,475937,S,73,441,514,0.10677
PRJDB15234,DRR442891,Dolosigranulum pigrum,29394,S,10056,14,10070,0.43123
PRJDB15234,DRR442891,Delftia tsuruhatensis,180282,S,16,2857,2873,0.12303
PRJDB15234,DRR442891,Rhodopseudomonas boonkerdii,475937,S,672,2165,2837,0.12149
PRJDB15234,DRR442892,Muribaculum intestinale,1796646,S,415,9,424,0.20345
PRJDB15234,DRR442893,Rhodopseudomonas boonkerdii,475937,S,485,161,646,0.32332
PRJDB15234,DRR442893,Bifidobacterium longum,216816,S,135,155,290,0.14515
PRJDB15234,DRR442893,Butyrivibrio fibrisolvens,831,S,208,1,209,0.10460
PRJDB15234,DRR442894,Delftia tsuruhatensis,180282,S,16,4110,4126,0.29675
PRJDB15234,DRR442894,Rhodopseudomonas boonkerdii,475937,S,1317,652,1969,0.14161
PRJDB15234,DRR442894,Limosilactobacillus reuteri,1598,S,296,1127,1423,0.10234
PRJDB15234,DRR442895,Sphingomonas nostoxanthinifaciens,2872652,S,91,5624,5715,0.22549
PRJDB15234,DRR442895,Rhodopseudomonas boonkerdii,475937,S,2175,1942,4117,0.16244
PRJDB15234,DRR442895,Sodaliphilus pleomorphus,2606626,S,3299,15,3314,0.13076
PRJDB15234,DRR442895,Delftia tsuruhatensis,180282,S,48,3040,3088,0.12184
PRJDB15234,DRR442896,Delftia tsuruhatensis,180282,S,20,6385,6405,0.20970
PRJDB15234,DRR442896,Muribaculum intestinale,1796646,S,3668,286,3954,0.12946
PRJDB15234,DRR442896,Rhodopseudomonas boonkerdii,475937,S,1867,1845,3712,0.12153
PRJDB15234,DRR442897,Cutibacterium acnes,1747,S,15035,59,15094,0.70460
PRJDB15234,DRR442898,Rhodopseudomonas boonkerdii,475937,S,219,240,459,0.18426
PRJDB15234,DRR442898,Mesorhizobium terrae,2725666,S,40,366,406,0.16299
PRJDB15234,DRR442898,Bacteroides ovatus,28116,S,314,9,323,0.12967
PRJDB15234,DRR442898,Sodaliphilus pleomorphus,2606626,S,281,1,282,0.11321
PRJDB15234,DRR442898,Duncaniella sp. B8,2576606,S,255,3,258,0.10357
PRJDB15234,DRR442899,Rhodopseudomonas boonkerdii,475937,S,1730,1142,2872,0.23591
PRJDB15234,DRR442899,Muribaculum intestinale,1796646,S,1385,401,1786,0.14671
PRJDB15234,DRR442900,Delftia tsuruhatensis,180282,S,26,10824,10850,0.25997
PRJDB15234,DRR442900,Sphingomonas changnyeongensis,2698679,S,20,5243,5263,0.12610
PRJDB15234,DRR442901,Rhodopseudomonas boonkerdii,475937,S,2777,2285,5062,0.15731
PRJDB15234,DRR442901,Delftia tsuruhatensis,180282,S,21,4597,4618,0.14351
PRJDB15234,DRR442901,Sodaliphilus pleomorphus,2606626,S,4122,116,4238,0.13170
PRJDB15234,DRR442902,Delftia tsuruhatensis,180282,S,23,4268,4291,0.17236
PRJDB15234,DRR442902,Rhodopseudomonas boonkerdii,475937,S,1641,1820,3461,0.13902
PRJDB15234,DRR442902,Sphingomonas nostoxanthinifaciens,2872652,S,27,3100,3127,0.12561
PRJDB15234,DRR442902,Muribaculum intestinale,1796646,S,2626,8,2634,0.10580
PRJDB15234,DRR442903,Rhodopseudomonas boonkerdii,475937,S,2378,1591,3969,0.26222
PRJDB15234,DRR442903,Duncaniella sp. B8,2576606,S,2646,14,2660,0.17574
PRJDB15234,DRR442903,Muribaculum intestinale,1796646,S,2296,11,2307,0.15242
PRJDB15234,DRR442903,Sphingomonas nostoxanthinifaciens,2872652,S,20,1933,1953,0.12903
PRJDB15234,DRR442904,Staphylococcus aureus,1280,S,1584,6122,7706,0.21924
PRJDB15234,DRR442904,Staphylococcus epidermidis,1282,S,5048,106,5154,0.14664
PRJDB15234,DRR442904,Sphingomonas cannabina,2899123,S,337,4487,4824,0.13725
PRJDB15234,DRR442905,Staphylococcus aureus,1280,S,364,1805,2169,0.23999
PRJDB15234,DRR442905,Rhodopseudomonas boonkerdii,475937,S,503,687,1190,0.13167
PRJDB15234,DRR442905,Barnesiella viscericola,397865,S,967,52,1019,0.11275
PRJDB15234,DRR442906,Delftia tsuruhatensis,180282,S,100,5011,5111,0.25647
PRJDB15234,DRR442906,Rhodopseudomonas boonkerdii,475937,S,1239,2858,4097,0.20559
PRJDB15234,DRR442907,Delftia tsuruhatensis,180282,S,32,6205,6237,0.26509
PRJDB15234,DRR442907,Sphingomonas nostoxanthinifaciens,2872652,S,58,4320,4378,0.18608
PRJDB15234,DRR442907,Rhizobium gallicum,56730,S,52,2317,2369,0.10069
PRJDB15234,DRR442908,Rhodopseudomonas boonkerdii,475937,S,3876,1612,5488,0.36921
PRJDB15234,DRR442908,Sodaliphilus pleomorphus,2606626,S,2517,9,2526,0.16994
PRJDB15234,DRR442909,Muribaculum intestinale,1796646,S,1336,3,1339,0.15992
PRJDB15234,DRR442909,Rhizobium gallicum,56730,S,28,1206,1234,0.14738
PRJDB15234,DRR442909,Barnesiella viscericola,397865,S,885,26,911,0.10880
PRJDB15234,DRR442910,Rhodopseudomonas boonkerdii,475937,S,873,510,1383,0.38162
PRJDB15234,DRR442910,Muribaculum intestinale,1796646,S,623,26,649,0.17908
PRJDB15234,DRR442911,Delftia tsuruhatensis,180282,S,34,1320,1354,0.28080
PRJDB15234,DRR442911,Sodaliphilus pleomorphus,2606626,S,666,4,670,0.13895
PRJDB15234,DRR442911,Rhodopseudomonas boonkerdii,475937,S,142,422,564,0.11696
PRJDB15234,DRR442912,Muribaculum intestinale,1796646,S,4970,319,5289,0.25112
PRJDB15234,DRR442912,Sphingomonas nostoxanthinifaciens,2872652,S,34,3027,3061,0.14533
PRJDB15234,DRR442912,Rhodopseudomonas boonkerdii,475937,S,1210,1442,2652,0.12591
PRJDB15234,DRR442913,Muribaculum intestinale,1796646,S,5623,719,6342,0.21069
PRJDB15234,DRR442913,Rhodopseudomonas boonkerdii,475937,S,2185,2000,4185,0.13903
PRJDB15234,DRR442913,Limosilactobacillus reuteri,1598,S,1504,1682,3186,0.10584
PRJDB15234,DRR442914,Rhodopseudomonas boonkerdii,475937,S,659,793,1452,0.31099
PRJDB15234,DRR442914,Muribaculum intestinale,1796646,S,784,46,830,0.17777
PRJDB15234,DRR442914,Phreatobacter stygius,1940610,S,187,313,500,0.10709
PRJDB15234,DRR442914,Duncaniella sp. B8,2576606,S,440,32,472,0.10109
PRJDB15234,DRR442915,Muribaculum intestinale,1796646,S,2591,65,2656,0.20576
PRJDB15234,DRR442915,Rhodopseudomonas boonkerdii,475937,S,1088,1108,2196,0.17013
PRJDB15234,DRR442915,Duncaniella sp. B8,2576606,S,1532,32,1564,0.12117
PRJDB15234,DRR442916,Muribaculum intestinale,1796646,S,985,395,1380,0.18516
PRJDB15234,DRR442916,Sodaliphilus pleomorphus,2606626,S,921,142,1063,0.14263
PRJDB15234,DRR442916,Rhodopseudomonas boonkerdii,475937,S,453,564,1017,0.13646
PRJDB15234,DRR442916,Duncaniella sp. B8,2576606,S,694,273,967,0.12975
PRJDB15234,DRR442917,Phreatobacter stygius,1940610,S,631,1185,1816,0.21425
PRJDB15234,DRR442917,Rhodopseudomonas boonkerdii,475937,S,414,564,978,0.11538
PRJDB15234,DRR442917,Pseudomonas aeruginosa,287,S,20,849,869,0.10252
PRJDB15234,DRR442918,Rhodopseudomonas boonkerdii,475937,S,662,421,1083,0.19161
PRJDB15234,DRR442918,Prevotella corporis,28128,S,268,462,730,0.12916
PRJDB15234,DRR442918,Muribaculum intestinale,1796646,S,463,104,567,0.10032
PRJDB15234,DRR442919,Muribaculum intestinale,1796646,S,500,189,689,0.15287
PRJDB15234,DRR442919,Barnesiella viscericola,397865,S,533,95,628,0.13934
PRJDB15234,DRR442919,Rhodopseudomonas boonkerdii,475937,S,511,104,615,0.13645
PRJDB15234,DRR442919,Duncaniella sp. B8,2576606,S,375,164,539,0.11959
PRJDB15234,DRR442920,Lactobacillus taiwanensis,508451,S,305,519,824,0.16816
PRJDB15234,DRR442920,Methylobacterium radiotolerans,31998,S,188,633,821,0.16755
PRJDB15234,DRR442920,Rhodopseudomonas boonkerdii,475937,S,365,306,671,0.13694
PRJDB15234,DRR442921,Lactobacillus taiwanensis,508451,S,9831,12810,22641,0.32951
PRJDB15234,DRR442922,Lactobacillus taiwanensis,508451,S,6424,8728,15152,0.19614
PRJDB15234,DRR442924,Delftia tsuruhatensis,180282,S,19,4380,4399,0.13607
PRJDB15234,DRR442925,Staphylococcus aureus,1280,S,2941,9753,12694,0.27667
PRJDB15234,DRR442925,Delftia tsuruhatensis,180282,S,24,4856,4880,0.10636
PRJEB55147,ERR11835771,Cutibacterium acnes,1747,S,3450,74,3524,0.21914
PRJEB55147,ERR11835771,synthetic construct,32630,S,2168,0,2168,0.13482
