sample_id,sample_name,sequencing_date,taxonomy_name,taxonomy_id,taxonomy_lvl,assigned_reads,added_reads,total_reads,fraction_total_reads
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus intestinalis,1963032,S,12519,4337105,4349624,0.06349
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Saccharomyces cerevisiae,4932,S,1838529,2597,1841126,0.02687
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Cryptococcus neoformans,5207,S,738860,3345,742205,0.01083
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus sp. FJAT-14266,1837130,S,204,309948,310152,0.00453
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus cereus,1396,S,60578,216580,277158,0.00405
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus velezensis,492670,S,10981,147926,158907,0.00232
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus sp. HNA3,2585772,S,352,146289,146641,0.00214
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus sp. WR11,2448811,S,1187,134486,135673,0.00198
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus vallismortis,72361,S,63476,53321,116797,0.0017
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus amyloliquefaciens,1390,S,4696,106538,111234,0.00162
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus sp. Lzh-5,2049935,S,111,109909,110020,0.00161
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Burkholderia contaminans,488447,S,84830,14676,99506,0.00145
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Staphylococcus pseudintermedius,283734,S,86907,1692,88599,0.00129
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bradyrhizobium sp. SK17,2057741,S,73282,3834,77116,0.00113
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Trypanosoma cruzi,5693,S,160451,44433,204884,0.09575
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Salmonella enterica,28901,S,37898,117429,155327,0.07259
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Rothia mucilaginosa,43675,S,134595,871,135466,0.06331
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella melaninogenica,28132,S,97379,6398,103777,0.0485
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Escherichia coli,562,S,11744,91581,103325,0.04829
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Cryptosporidium hominis,237895,S,70995,26433,97428,0.04553
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Pseudomonas aeruginosa,287,S,20259,57441,77700,0.03631
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Staphylococcus aureus,1280,S,28843,42012,70855,0.03311
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Listeria monocytogenes,1639,S,51536,11485,63021,0.02945
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Enterococcus faecalis,1351,S,51425,5762,57187,0.02673
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Haemophilus parainfluenzae,729,S,51913,1991,53904,0.02519
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Pseudomonas tolaasii,29442,S,42140,8308,50448,0.02358
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Lactobacillus fermentum,1613,S,43478,1972,45450,0.02124
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria mucosa,488,S,31608,5107,36715,0.01716
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella jejuni,1177574,S,34511,2134,36645,0.01713
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Veillonella sp. T1-7,2682456,S,30796,4854,35650,0.01666
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Schaalia odontolytica,1660,S,33419,598,34017,0.0159
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Bacillus subtilis,1423,S,2239,29697,31936,0.01493
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sp. LPB0220,2610896,S,26132,5407,31539,0.01474
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria sicca,490,S,26108,3345,29453,0.01376
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Gemella haemolysans,1379,S,28690,675,29365,0.01372
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus parasanguinis,1318,S,26637,2034,28671,0.0134
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sp. HSISM1,1316408,S,23089,4695,27784,0.01298
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Pasteurella multocida,747,S,362,26710,27072,0.01265
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria subflava,28449,S,24709,2161,26870,0.01256
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptomyces lividans,1916,S,24040,2081,26121,0.01221
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus mitis,28037,S,21524,2494,24018,0.01122
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Rothia dentocariosa,2047,S,22478,281,22759,0.01064
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Delftia tsuruhatensis,180282,S,16820,5521,22341,0.01044
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Cutibacterium acnes,1747,S,21041,154,21195,0.00991
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Bacillus intestinalis,1963032,S,53,20026,20079,0.00938
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Veillonella atypica,39777,S,16801,329,17130,0.00801
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Veillonella dispar,39778,S,14869,1903,16772,0.00784
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Veillonella parvula,29466,S,14898,286,15184,0.0071
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus salivarius,1304,S,10384,4717,15101,0.00706
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Campylobacter concisus,199,S,14785,42,14827,0.00693
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Eimeria acervulina,5801,S,12753,594,13347,0.00624
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus oralis,1303,S,10112,2321,12433,0.00581
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Rothia aeria,172042,S,11988,154,12142,0.00567
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella intermedia,28131,S,11438,611,12049,0.00563
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus pneumoniae,1313,S,5898,5677,11575,0.00541
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Aggregatibacter segnis,739,S,10104,322,10426,0.00487
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,[Eubacterium] sulci,143393,S,10212,72,10284,0.00481
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria elongata,495,S,9254,470,9724,0.00454
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Xanthomonas euvesicatoria,456327,S,8655,180,8835,0.00413
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Lautropia mirabilis,47671,S,8739,97,8836,0.00413
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Bradyrhizobium sp. SK17,2057741,S,7936,786,8722,0.00408
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria meningitidis,487,S,4553,3798,8351,0.0039
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Fusobacterium pseudoperiodonticum,2663009,S,7019,1017,8036,0.00376
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Corynebacterium matruchotii,43768,S,7891,8,7899,0.00369
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sp. oral taxon 061,712623,S,7378,297,7675,0.00359
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria flavescens,484,S,6092,992,7084,0.00331
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Atopobium parvulum,1382,S,6955,28,6983,0.00326
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sanguinis,1305,S,6694,137,6831,0.00319
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella scopos,589437,S,6009,577,6586,0.00308
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Haemophilus haemolyticus,726,S,5801,469,6270,0.00293
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Actinomyces oris,544580,S,4282,1925,6207,0.0029
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Candidatus Saccharibacteria oral taxon TM7x,1476577,S,14,5806,5820,0.00272
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella oris,28135,S,5548,191,5739,0.00268
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Actinomyces naeslundii,1655,S,3645,1668,5313,0.00248
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Candidatus Saccharibacteria bacterium oral taxon 488,713059,S,4878,372,5250,0.00245
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sp. oral taxon 431,712633,S,4936,251,5187,0.00242
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Aggregatibacter aphrophilus,732,S,4861,218,5079,0.00237
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Fusobacterium nucleatum,851,S,4568,370,4938,0.00231
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Abiotrophia defectiva,46125,S,4887,11,4898,0.00229
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Neisseria sp. oral taxon 014,641148,S,4571,253,4824,0.00225
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Actinomyces sp. oral taxon 171,706438,S,4383,192,4575,0.00214
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Shigella flexneri,623,S,124,4305,4429,0.00207
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Rhodococcus erythropolis,1833,S,1680,2689,4369,0.00204
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella sp. oral taxon 299,652716,S,4160,112,4272,0.002
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Gemella morbillorum,29391,S,3882,238,4120,0.00193
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Haemophilus influenzae,727,S,2924,1145,4069,0.0019
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella denticola,28129,S,3849,176,4025,0.00188
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Kingella oralis,505,S,3949,52,4001,0.00187
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Klebsiella pneumoniae,573,S,1945,2061,4006,0.00187
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Delftia acidovorans,80866,S,2213,1653,3866,0.00181
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus australis,113107,S,3261,420,3681,0.00172
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Capnocytophaga sputigena,1019,S,3249,205,3454,0.00161
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Bacillus sp. FJAT-14266,1837130,S,2,3355,3357,0.00157
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Actinomyces pacaensis,1852377,S,3211,28,3239,0.00151
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus gwangjuense,1433513,S,2762,467,3229,0.00151
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus sp. A12,1759399,S,2847,388,3235,0.00151
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Haemophilus parahaemolyticus,735,S,3064,49,3113,0.00145
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Bifidobacterium longum,216816,S,2812,274,3086,0.00144
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Tannerella forsythia,28112,S,2831,163,2994,0.0014
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Cryptococcus neoformans,5207,S,2915,31,2946,0.00138
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Streptococcus gordonii,1302,S,2845,89,2934,0.00137
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Cryptosporidium baileyi,27987,S,2712,13,2725,0.00127
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Tannerella sp. oral taxon HOT-286,712710,S,2569,15,2584,0.00121
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Haemophilus sp. oral taxon 036,712310,S,2283,241,2524,0.00118
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Saccharomyces cerevisiae,4932,S,2518,6,2524,0.00118
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Burkholderia contaminans,488447,S,2023,480,2503,0.00117
jhu00005,Qiagen_DNeasy_Air_Ctr_3_S10,2024-03-14,Prevotella enoeca,76123,S,2351,152,2503,0.00117
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Salmonella enterica,28901,S,9062790,8735426,17798216,0.18662
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Lactobacillus fermentum,1613,S,13520732,329031,13849763,0.14522
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Escherichia coli,562,S,2708983,10813088,13522071,0.14178
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Pseudomonas aeruginosa,287,S,4672577,8683250,13355827,0.14004
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Listeria monocytogenes,1639,S,11867779,552669,12420448,0.13023
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Enterococcus faecalis,1351,S,8087331,273637,8360968,0.08767
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Bacillus subtilis,1423,S,524323,6005268,6529591,0.06846
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Bacillus intestinalis,1963032,S,15906,5696445,5712351,0.0599
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Staphylococcus aureus,1280,S,1616328,89036,1705364,0.01788
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Shigella flexneri,623,S,29095,623519,652614,0.00684
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Bacillus sp. FJAT-14266,1837130,S,168,263914,264082,0.00277
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Bacillus sp. HNA3,2585772,S,469,201485,201954,0.00212
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Shigella boydii,621,S,28409,162805,191214,0.002
jhu00008,Qiagen_DNeasy_MCS_1-100_4_S18,2024-03-14,Bacillus velezensis,492670,S,12975,177771,190746,0.002
